X,Y,osm_id,osm_type,completeness,amenity,healthcare,name,operator,source,speciality,operator_type,operational_status,opening_hours,beds,staff_doctors,staff_nurses,health_amenity_type,dispensing,wheelchair,emergency,insurance,water_source,electricity,is_in_health_area,is_in_health_zone,url,addr_housenumber,addr_street,addr_postcode,addr_city,changeset_id,changeset_version,changeset_timestamp,uuid
-21.9361402001324,64.0666965784029,"1421475664",node,18.75,pharmacy,pharmacy,Apótekið,,local_knowledge,,,,,,,,,,yes,,,,,,,,,,,,88771861,3,2020/07/31 08:51:32+00,d3a614609e4d489c8a50a2a029eb400b
-21.8211883492589,64.0845598389892,"7700131926",node,37.5,pharmacy,pharmacy,Apótekarinn Vallakór,Apótekarinn,local knowledge,,,,Mo-Fr 10:00-18:00,,,,,yes,,,,,,,,,"4",Vallakór,"203",Kópavogur,141056151,3,2023/09/10 10:22:41+00,78d1229545b640b6a057f5ee7b2174ce
-14.2804349754685,64.6544147579908,"819330269",node,9.375,hospital,,Heilsugæslustöðin Djúpavogi,,,,,,,,,,,,,,,,,,,,,,,,73642649,4,2019/08/22 21:32:01+00,5976a10c85f446dfba65b6045588641e
-21.8894617166352,64.0960503385926,"3112001185",node,12.5,dentist,dentist,Tannir,,,,,,,,,,,,,,,,,,,,,,,,81272124,2,2020/02/20 12:35:54+00,d5871757f1a74118bfc85216ea2c02c1
-21.8871717806882,64.1282436361205,"310242658",node,34.375,pharmacy,pharmacy,Apótekarinn,,,,,,"Mo-Fr 08:00-24:00; Sa-Su 09:00-24:00",,,,,yes,yes,,,,,,,,"68",Háaleitisbraut,"103",Reykjavík,102795545,5,2021/04/12 10:34:44+00,567f8395926b45729b414a6d3e693e24
-21.6967903449659,64.1654945740233,"10573714624",node,25,pharmacy,,Lyfja,,,,,,"Mo-Fr 09:00-18:30, Sa 10:00-16:00",,,,,,,,,,,,,,3-5,Bjarkarholt,"270",Mosfellsbær,148612899,2,2024/03/13 20:56:45+00,b878b65eac4944b3bbf543237b1e9953
-21.8971058446914,64.1458657493525,"5052065332",node,25,pharmacy,pharmacy,Borgar Apótek,,Kaart Ground Survey 2017,,,,Mo-Fr 08:00-18:00,,,,,,,,,,,,,,,Borgartún,"105",,149106674,7,2024/03/24 21:58:54+00,c4d97ca342944ca884d7521fa0c2091b
-22.7302588058736,65.0740792993491,"693566753",node,25,pharmacy,pharmacy,Lyfja - útibú,,,,,,Mo-Fr 12:00-18:00,,,,,,,,,,,,,,"24",Aðalgata,"340",,112113841,8,2021/10/05 09:51:14+00,67d0b6f4674d4977adfaac24aab83d18
-16.9062095589352,65.6424350311491,"4987275626",node,21.875,pharmacy,pharmacy,,,,,,,"Mo-Fr 10:00-12:00, 13:00-15:00",,,,,,,,,,,,,,"8",Hliðarvegur,"660",,88771222,4,2020/07/31 08:40:15+00,e3ec3877f02241c5abf7cc06ec985d84
-21.7854512668883,64.1505964955037,"2125794210",node,25,clinic,clinic,Heilsugæslan í Grafarvogi,Heilsugæsla höfuðborgarsvæðisins,,,public,,,,,,,,,,,,,,,,"15",Spöngin,,,169303038,3,2025/07/22 16:34:09+00,e5c3bd47a9944301a0fc36291cd09642
-21.8922074604768,64.1267513220795,"9190293669",node,31.25,pharmacy,pharmacy,Efstaleitis apótek,,,,,,Mo-Fr 09:00-18:00,,,,,yes,,,,,,,,,27B,Efstaleiti,"103",Reykjavík,138890261,2,2023/07/23 11:52:50+00,28b93ad960ac4644a9a9381809023752
,,"219769796",way,21.875,clinic,,Heilsugæsla,,Kaart Ground Survey 2017,,,,,,,,,,,,,,,,,,25b,Breiðamörk,"810",,78787821,5,2019/12/23 19:49:11+00,503e3d5e51754940be18f5b6c597cf9a
-23.119758554091,66.0733881520634,"1867319243",node,15.625,pharmacy,pharmacy,Lyfja,,,,,,"Mo-Fr 10:00-18:00; Sa 10:00-14:00",,,,,,,,,,,,,,,,,,144657331,7,2023/12/01 10:46:03+00,947f52f67d7d4b7a891c39820c2ffe50
-18.530503035661,65.9750862812919,"851174039",node,12.5,hospital,,Rauði kross Íslands,,,,,,,,,,,,,no,,,,,,,,,,,97907229,3,2021/01/21 13:00:45+00,2c88dec9fcf44b999749da31937153de
-21.9515362475195,64.1544226666643,"6592238595",node,28.125,pharmacy,pharmacy,Lyfja,,,,,,Mo-Su 08:00-24:00,,,,,,,,,,,,,,"3",Fiskislóð,"101",Reykjavík,100286174,2,2021/03/02 14:18:37+00,5765b450e0044a659257165525be2094
-18.0994842006259,65.6811692306375,"4346238314",node,12.5,dentist,dentist,Tannsmiðjan,,,,,,,,,,,,,,,,,,,,,,,,73257164,2,2019/08/12 07:23:13+00,a136d3a033f940b9b71287e01632c37e
-15.2122498101636,64.2523838968909,"452675359",node,28.125,pharmacy,pharmacy,Lyfja,,,,,,Mo-Fr 10:00-18:00,,,,,,,,,,,,,,"1",Litlabrú,"780",Höfn,151864444,10,2024/05/26 18:25:33+00,0536781aaf824bef98db100e347fd516
