Type,GeoJSON,H_Region,Parish,H_Name,Address,Telephone,Sub Type,Accuracy,X,Y
Health Centre,"{""coordinates"": [-77.55407634107674, 18.30124780991488], ""type"": ""Point""}",Western,Trelawny,Rock Spring,"Rock Spring P.A.,",,1,Digitizing,691420.28161,683430.425593
Health Centre,"{""coordinates"": [-77.61649722221912, 18.393030555555818], ""type"": ""Point""}",Western,Trelawny,Sherwood Content,Sherwood Content  P.O.,,1,GPS,684854.636246,693610.30472
Health Centre,"{""coordinates"": [-77.44865437345653, 18.38794726460762], ""type"": ""Point""}",Western,Trelawny,Stewart Town,Stewart Town P.O,,1,Digitizing,702589.21534,692996.705478
Health Centre,"{""coordinates"": [-77.60645613594093, 18.24731174604845], ""type"": ""Point""}",Western,Trelawny,Troy,Troy P.O.,,1,Digitizing,685862.920402,677477.886071
Health Centre,"{""coordinates"": [-77.52153404160936, 18.315407903131973], ""type"": ""Point""}",Western,Trelawny,Ulster Spring,Ulster Spring P.O.,,6,Digitizing,694865.215282,684987.757223
Health Centre,"{""coordinates"": [-77.51428649708512, 18.25017273982654], ""type"": ""Point""}",Western,Trelawny,Wait-A-Bit,Wait-A-Bit P.O.,990-5124,2,Digitizing,695611.370908,677765.091846
Health Centre,"{""coordinates"": [-77.72769415597173, 18.414329619211816], ""type"": ""Point""}",Western,Trelawny,Wakefield,Wakefield P.O.,610-3050,2,Digitizing,673113.746212,696010.425239
Health Centre,"{""coordinates"": [-77.58067519658616, 18.262662073551805], ""type"": ""Point""}",Western,Trelawny,Warsop,Warsop P.O.,,2,Digitizing,688594.751299,679168.19117
Health Centre,"{""coordinates"": [-78.18052985594554, 18.31025720024947], ""type"": ""Point""}",Western,Westmoreland,Baulk,Baulk P.A.,,1,Digitizing,625195.493619,684737.424396
Health Centre,"{""coordinates"": [-77.9636833333337, 18.145399999999754], ""type"": ""Point""}",Western,Westmoreland,Beeston Spring,Beeston Spring P.O.,,1,GPS,648025.235974,666358.073812
Health Centre,"{""coordinates"": [-77.89268820477022, 18.218726382315495], ""type"": ""Point""}",Western,Westmoreland,Berkshire,Berkshire P.O.,,1,Digitizing,655576.7926,674436.358387
Health Centre,"{""coordinates"": [-77.95044999999922, 18.29813333333114], ""type"": ""Point""}",Western,Westmoreland,Bethel Town,Bethel Town P.O.,,3,GPS,649512.20192,683255.727672
Health Centre,"{""coordinates"": [-78.02596509098312, 18.165563764296376], ""type"": ""Point""}",Western,Westmoreland,Bluefields,Bluefields P.O.,955-8285,1,Digitizing,641447.137454,668625.178048
Health Centre,"{""coordinates"": [-77.98687153924081, 18.285169758309515], ""type"": ""Point""}",Western,Westmoreland,Cornwall Mountain,Cornwall Mountain P.O.,,1,Digitizing,645653.876804,681840.990034
Health Centre,"{""coordinates"": [-77.97303333333602, 18.233583333336437], ""type"": ""Point""}",Western,Westmoreland,Darliston,Darliston P.O.,,3,GPS,647087.07107,676123.517896
Health Centre,"{""coordinates"": [-78.23714491577593, 18.27457930273728], ""type"": ""Point""}",Western,Westmoreland,Delveland,Delveland P.A.,,1,Digitizing,619183.940414,680827.519952
Health Centre,"{""coordinates"": [-78.1386842357552, 18.275662780102312], ""type"": ""Point""}",Western,Westmoreland,Georges Plain,Georges Plain P.A.,955-6761,1,Digitizing,629595.80101,680880.738702
Health Centre,"{""coordinates"": [-78.18188333333558, 18.30870000000054], ""type"": ""Point""}",Western,Westmoreland,Grange Hill,Grange Hill P.O.,,3,GPS,625051.30853,684565.979899
Health Centre,"{""coordinates"": [-78.23401518168235, 18.326718952952493], ""type"": ""Point""}",Western,Westmoreland,Jerusalem Mountain,Jerusalem Mountain P.O.,,1,Digitizing,619553.283712,686596.282881
Health Centre,"{""coordinates"": [-77.91524419947405, 18.261487615064034], ""type"": ""Point""}",Western,Westmoreland,Lamb's River,Lamb's River P.O,,2,Digitizing,653214.336923,679180.921792
Health Centre,"{""coordinates"": [-78.10496666667062, 18.220783333329194], ""type"": ""Point""}",Western,Westmoreland,Little London,Little London P.O.,,2,GPS,633124.846405,674784.983341
Health Centre,"{""coordinates"": [-78.34381666667119, 18.2787833333302], ""type"": ""Point""}",Western,Westmoreland,Negril,Negril P.O.,,3,GPS,607908.000909,681371.335872
Health Centre,"{""coordinates"": [-77.97165387205115, 18.172269046279492], ""type"": ""Point""}",Western,Westmoreland,New Works,New Works P.A.,,1,Digitizing,647197.404298,669336.371546
Health Centre,"{""coordinates"": [-78.06324999999917, 18.263250000001182], ""type"": ""Point""}",Western,Westmoreland,Petersfield,Petersfield P.O.,,2,GPS,637564.229932,679459.493244
Health Centre,"{""coordinates"": [-78.12831666666429, 18.225513888884517], ""type"": ""Point""}",Western,Westmoreland,Savanna-la-mar,Savanna-la-mar P.O.,,3,GPS,630658.273572,675323.443623
Health Centre,"{""coordinates"": [-77.89681090833206, 18.25683497597034], ""type"": ""Point""}",Western,Westmoreland,St. Leonardo,St. Leonards P.O.,,1,Digitizing,655161.12285,678656.427544
Health Centre,"{""coordinates"": [-77.96554999999819, 18.090016666667182], ""type"": ""Point""}",Western,Westmoreland,Whitehouse,Whitehouse P.O.,,3,GPS,647795.789481,660229.248024
Health Centre,"{""coordinates"": [-78.0635426255046, 18.32068017212481], ""type"": ""Point""}",Western,Westmoreland,Williamsfeild,Williamsfeild P.O.,,1,Digitizing,637569.74804,685816.234901
Health Centre,"{""coordinates"": [-76.76921137028246, 17.99815386970348], ""type"": ""Point""}",Southeastern,Kingston & St. Andrew,Nannyville,Nannyville Gardens,,2,Digitizing,774441.913871,649810.881359
Hospital,"{""coordinates"": [-77.25982499999594, 17.97420833332924], ""type"": ""Point""}",Southern,Clarendon,May Pen,Muirhead Ave,986-2528,C,GPS,722479.246589,647164.654851
Hospital,"{""coordinates"": [-77.2413722222192, 17.80803888888827], ""type"": ""Point""}",Southern,Clarendon,Lionel Town,Vere,986-3226,C,GPS,724409.827773,628770.496441
Hospital,"{""coordinates"": [-78.16779444444866, 18.452077777776687], ""type"": ""Point""}",Western,Hanover,Noel Holmes,Fort Charlotte Dr.,956-2733,C,GPS,626640.720434,700426.315462
Hospital,"{""coordinates"": [-76.79537499999758, 17.977288888885422], ""type"": ""Point""}",Southeastern,Kingston & St. Andrew,Victoria Jubilee,"North Street, Kgn.",922-1700,S (Specialist),GPS,771673.576825,647498.287939
Hospital,"{""coordinates"": [-76.77819166667085, 17.999283333336255], ""type"": ""Point""}",Southeastern,Kingston & St. Andrew,Bustamante,"Arthur Wint Dr., Kgn. 5",926-5721,S (Specialist),GPS,773490.697001,649934.729939
Hospital,"{""coordinates"": [-76.79490555555175, 17.97627499999957], ""type"": ""Point""}",Southeastern,Kingston & St. Andrew,Kingston Public,"North Street, Kgn.",922-0227,A,GPS,771723.423794,647386.125589
Hospital,"{""coordinates"": [-76.7401040188898, 18.0047033012407], ""type"": ""Point""}",Southeastern,Kingston & St. Andrew,Sir John Golding,"7 Golding Ave., Kgn. 7",927-2504,S (Specialist),Digitizing,777523.5407,650539.8534
Hospital,"{""coordinates"": [-76.73818916465916, 18.000104258321297], ""type"": ""Point""}",Southeastern,Kingston & St. Andrew,Hope Institute,Elleston Flats,927-2111,S (Specialist),Digitizing,777727.04649,650031.11522
Hospital,"{""coordinates"": [-76.77235833333485, 17.970727777776737], ""type"": ""Point""}",Southeastern,Kingston & St. Andrew,Bellevue,"16  1/2 Windward Rd., Kgn. 2",928-1380-1,S (Specialist),GPS,774112.358469,646774.945844
Hospital,"{""coordinates"": [-76.74297222222509, 18.011024999995108], ""type"": ""Point""}",Southeastern,Kingston & St. Andrew,University,Mona,927-1620,A,GPS,777218.822084,651239.117957
Hospital,"{""coordinates"": [-76.74409068702073, 18.011264085728033], ""type"": ""Point""}",Southeastern,Kingston & St. Andrew,Mona Rehabilitation,Mona,,A,Digitizing,777100.34204,651265.41623
Hospital,"{""coordinates"": [-77.50958611111176, 18.043091666668694], ""type"": ""Point""}",Southern,Manchester,Mandeville,32 Hargreaves Ave.,962-2067,B,GPS,696045.4678,654843.557375
Hospital,"{""coordinates"": [-77.4648111111127, 18.155363888889973], ""type"": ""Point""}",Southern,Manchester,Percy Junor,Christiana P.O.,964-2322,C,GPS,700817.347126,667257.5425
Hospital,"{""coordinates"": [-76.45595555555617, 18.176499999996697], ""type"": ""Point""}",Northeastern,Portland,Port Antonio,Naylors Hill,993-2646,C,GPS,807559.613853,669619.744138
Hospital,"{""coordinates"": [-77.20954166666391, 18.43726111111327], ""type"": ""Point""}",Northeastern,St. Ann,St. Anns Bay,St. Anns Bay P.O.,972-2272,B,GPS,727863.194138,698410.304055
Hospital,"{""coordinates"": [-76.9471972222198, 17.991816666664317], ""type"": ""Point""}",Southeastern,St. Catherine,Spanish Town,"Burke Rd., Spanish Town",984-3031-2,B,GPS,755592.335133,649095.062171
Hospital,"{""coordinates"": [-77.03157499999962, 18.133616666666846], ""type"": ""Point""}",Southeastern,St. Catherine,Linstead,"Rodney Hall Rd., Linstead P.O.",984-2241,C,GPS,746658.568662,664789.144492
Hospital,"{""coordinates"": [-77.85883611111247, 18.026677777775234], ""type"": ""Point""}",Southern,St. Elizabeth,Black River,"45 High Street, Black River",965-2212,C,GPS,659058.978679,653163.331477
Hospital,"{""coordinates"": [-77.91004444444745, 18.469419444441375], ""type"": ""Point""}",Western,St. James,Cornwall Regional,"Mt. Salem, Montego Bay P.O.",952-6683,A,GPS,653877.161977,702193.266704
Hospital,"{""coordinates"": [-76.76169722222596, 18.273269444443493], ""type"": ""Point""}",Northeastern,St. Mary,Annotto Bay,Annotto Bay,996-2222,C,GPS,775198.570707,680262.303457
Hospital,"{""coordinates"": [-76.89552777778053, 18.35810277777295], ""type"": ""Point""}",Northeastern,St. Mary,Port Maria,"Trinity, Port Maria",994-2228,C,GPS,761041.795166,689639.057738
Hospital,"{""coordinates"": [-76.3909694444463, 17.880447222218532], ""type"": ""Point""}",Southeastern,St. Thomas,Princess Margaret,"54 Lyssons Rd., Morant Bay P.O.",982-2304,C,GPS,814542.718122,636873.92652
Hospital,"{""coordinates"": [-77.66079999999656, 18.496450000001403], ""type"": ""Point""}",Western,Trelawny,Falmouth,Golden Grove,954-3250,C,GPS,680213.971153,705073.736511
Hospital,"{""coordinates"": [-78.1292166666667, 18.22572222222097], ""type"": ""Point""}",Western,Westmoreland,Sav-La-Mar,"Barracks Rd., Sav-La-Mar",955-2133,B,GPS,630563.222445,675347.081846
